source_domain,p_true_final,source_score_final,evidence,n_total,n_true,n_false,mbfc_factuality,updated_at
timesnewroman.ro,0.15640712456717126,-1.685207622563865,internal,30.0,0.0,30.0,,2025-12-26
,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
100milefreepress.net,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
100percentfedup.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
1011now.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
10tv.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
11alive.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
12minutos.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
12news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
12newsnow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
13abc.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
13newsnow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
13wham.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
13wmaz.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
14news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
19fortyfive.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
19thnews.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
2020conservative.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
21stcenturywire.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
247wallst.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
24jours.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
24ur.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
25newsnow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
2ndvote.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
369news.net,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
38north.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
4029tv.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
4chan.org,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
604now.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
6abc.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
79days.news,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
7news.com.au,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
8newsnow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
911truth.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
929thedrive.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
972mag.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
9news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
9news.com.au,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
a1apac.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aa.com.tr,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aaas.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
aap.com.au,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aap.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
aapsonline.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
aawsat.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
abbynews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc.es,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc.net.au,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc11.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc12.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc13.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc17news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc27.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc30.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc3340.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc4.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc7amarillo.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc7chicago.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc7news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abc7ny.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abcnews.go.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abcnews4.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abcstlouis.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abort73.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
abovethelaw.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abovetopsecret.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
abqjournal.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
abs-cbn.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
ac2news.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
academia.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
accountable.us,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
aceshowbiz.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aclj.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aclu.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
acpeds.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
acsh.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
act.tv,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
acting-man.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
actionnews3.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
actionnews5.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
actionnewsjax.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
actionnewsnow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
activistpost.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
acton.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ad.nl,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
adaa.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
adaderana.lk,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
adamscountytimes.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
adareporter.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
additudemag.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
adelaidenow.com.au,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
adflegal.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
adfontesmedia.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
adl.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
adn.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
adobochronicles.com,0.5,0.0,mbfc,0.0,,,nan,2025-12-26
advocate-news.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
advocate.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
adweek.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
ae911truth.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aei.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aeon.co,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
afa.net,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
affinitymagazine.us,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
afj.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
afn.net,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
afp.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
afpc.org,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
afr.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
africacheck.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
africanarguments.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
africanews.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
africanexponent.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aftonbladet.se,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
agassizharrisonobserver.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
agdaily.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
ageofautism.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
agerpres.ro,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
agriculture.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
agu.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
agweb.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
ahram.org.eg,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ahtribune.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ahvalnews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ahwatukee.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aidc.org.za,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aier.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aim.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aim4truth.org,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
aina.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aip.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
airforcetimes.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
airspacemag.com,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
airwars.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aish.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ajaonline.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
ajc.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
al-monitor.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
al-sura.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
al.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
alabamanow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
alarabiya.net,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
alaraby.co.uk,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
alaskasnewssource.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
albanystandard.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
albawaba.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
albernivalleynews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
albertapressleader.ca,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
albertaviews.ca,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aldergrovestar.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aldianews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
alec.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aleteia.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
algemeiner.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aljazeera.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
allafrica.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
allgov.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
allianceforadvancedhealth.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
alligator.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
allnewspipeline.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
alloaadvertiser.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
almanar.com.lb,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
almasdarnews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
alohastatenews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
alphanews.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
alreporter.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
altermedzentrum.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
alternative-science.com,0.5,0.0,mbfc,0.0,,,nan,2025-12-26
alternativelyfacts.com,0.5,0.0,mbfc,0.0,,,nan,2025-12-26
alternativenews.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
alternet.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
althealthworks.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
altleft.news,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
altnews.in,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
altnewsmedia.net,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
altoday.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
altrighttv.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
ama-assn.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
amac.us,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
amarillo.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americablog.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americafirstpolicy.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americamagazine.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americamaxnews.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanactionforum.org,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
americanactionnews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanaffairsjournal.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americanbridgepac.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanconsequences.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanconservativemovement.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americandigitalnews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanexperiment.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanfirearms.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americanfreepress.net,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americangulag.org,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
americanheritage.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americanimmigrationcouncil.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americanindependent.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
americanjournaldaily.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanlibertyemail.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanlookout.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanmilitarynews.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
americanmind.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanoversight.org,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
americanpartisan.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanpatriotdaily.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanpeopledaily.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanpolicy.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanpressinstitute.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
americanprinciplesproject.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanprogress.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americanpublicmedia.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americanpurpose.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americansarepissed.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americanscientist.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
americansforprosperity.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americansfortruth.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
americanthinker.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americaoutloud.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americarisingpac.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
americasfreedomfighters.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americasfrontlinedoctors.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
americaslastlineofdefense.com,0.5,0.0,mbfc,0.0,,,nan,2025-12-26
americasnewssource.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
americasquarterly.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
americasvoice.news,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
amestoday.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
amestrib.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
amg-news.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
amgreatness.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
amimagazine.org,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
ammoland.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
amnesty.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
amny.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
amren.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
amsterdamnews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
amtvmedia.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
analyzingamerica.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
anchoragepress.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
ancient-code.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
ancient-origins.net,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
andalusiastarnews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
andersonreporter.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
andoveradvertiser.co.uk,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
anewspost.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
angrypatriotmovement.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
angrywhitemen.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
angusreid.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
anh-usa.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
aninews.in,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
annarbortimes.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
annearundeltoday.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
annistonstar.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
anonhq.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
ansa.it,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
answersingenesis.org,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
antelopevalleytoday.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
anthropocenemagazine.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
antihate.ca,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
antiwar.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
anyavien.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
aol.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
apa.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
aphapublications.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
apmreports.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
apnews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
apost.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
app.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
apple.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
appledaily.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
aps.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
apsa.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aptnnews.ca,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arabnews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
arcamax.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
arcdigital.media,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
archaeology-world.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
archaeology.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
areomagazine.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
argonautnews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
argusleader.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arirang.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arizonadailyindependent.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
arkansasonline.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arklatexhomepage.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arktimes.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
armscontrol.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
armstrongeconomics.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
armytimes.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aroostooknews.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
arstechnica.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
arte.tv,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
asahi.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
asia-pacificresearch.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
asianews.it,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
asiasentinel.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
asiatimes.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
askingangels.com,0.12,-1.9924301646902063,mbfc,0.0,,,very low,2025-12-26
aspeniaonline.it,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aspeninstitute.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
aspentimes.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
assassinationscience.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
astronomy.com,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
atavist.com,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
atchisonglobenow.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
athensmessenger.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
athensreporter.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
atlanta.cbslocal.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
atlantablackstar.com,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
atlanticcouncil.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
atlanticmedia.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
atlasobscura.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
atlbanana.com,0.5,0.0,mbfc,0.0,,,nan,2025-12-26
atlstandard.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
atmoreadvance.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
atr.org,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
attackthesystem.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
attn.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
au.org,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
auburnpub.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
auburntimes.com,0.55,0.2006706954621514,mbfc,0.0,,,mixed,2025-12-26
audacy.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
augustachronicle.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
austinchronicle.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
austindailyherald.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
australiannationalreview.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
autismspeaks.org,0.75,1.0986122886681098,mbfc,0.0,,,mostly factual,2025-12-26
autisticadvocacy.org,0.92,2.442347035369205,mbfc,0.0,,,very high,2025-12-26
autostraddle.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
avclub.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
avenuenews.com,0.85,1.7346010553881064,mbfc,0.0,,,high,2025-12-26
avoiceformen.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
awarenessact.com,0.25,-1.0986122886681098,mbfc,0.0,,,low,2025-12-26
